Student_ID,Student_Name,Study_Hours,Attendance_Percentage,Internal_Assessment_Score,Previous_Academic_Result,Final_Grade,Gender,Age,Study_Efficiency,Sleep_Hours,Internet_Usage_Hours
STU001,Krishna Iyer,,74.9,41.4,83.8,B,Male,-18,0.67,8.2,6.5
STU002,Ayushi Bansal,9.6,73.3,41.9,719.053401,D,female,20,0.74,,5.8
STU003,Vivaan Gupta,7.6,67.0,40.1,60.8,C,M,190.0898625,0.77,7.0,4.1
STU004,Manav Mehta,6.4,84.3,,79.8,,Male,-23,0.85,7.0,
STU005,Nikhil Nair,2.4,,33.4,744.2965591,C,M,23,,8.2,2.7
STU006,Vihaan Agarwal,2.4,94.6,39.6,84.3,B,Male,19,0.69,8.3,
STU007,Aarav Kapoor,1.5,61.3,,97.7,A,Male,23,0.52,8.7,
STU008,Harsh Singh,,85.8,40.3,47.0,D,Male,24,0.86,4.2,
STU009,Tanvi Gupta,6.4,90.5,46.6,82.6,,F,,,8.5,1.1
STU010,Aadhya Chopra,7.4,90.4,40.0,53.8,D,F,20,0.62,4.8,6.3
STU011,Aarav Malhotra,1.2,,31.4,64.9,C,Male,24,0.79,8.1,2.2
STU012,Vihaan Joshi,9.7,89.2,40.9,42.0,D,Male,,0.71,9.2,7.0
STU013,Ishaan Reddy,8.5,,41.2,48.2,,Male,19,0.87,8.5,6.4
STU014,Aditya Reddy,2.9,73.3,30.9,59.2,C,Male,-19,0.98,7.9,1.6
STU015,Ira Verma,2.6,80.1,31.4,60.5,,,,0.67,,1.3
STU016,Anika Kapoor,2.7,60.6,39.7,,A,female,18,0.98,7.5,2.8
STU017,Nisha Joshi,3.7,60.3,38.8,84.5,B,female,24,0.58,5.0,7.3
STU018,Ayushi Vaish,5.7,69.6,47.8,98.3,A,F,19,,5.1,2.9
STU019,Sarthak Mehta,4.9,,39.0,75.9,,M,18,,4.6,6.1
STU020,Sai Sharma,3.6,70.4,30.6,54.5,D,,21,0.82,5.4,5.1
STU021,Sara Singh,6.5,67.1,37.6,59.7,C,female,17,0.73,7.5,7.1
STU022,Aadhya Saxena,2.3,61.1,28.5,,C,female,22,0.7,,7.3
STU023,Anika Kapoor,3.6,96.4,34.7,59.6,C,female,25,0.58,7.8,3.6
STU024,Harsh Nair,4.3,60.3,38.8,,B,Male,,0.75,7.8,
STU025,Ishaan Malhotra,5.1,89.4,40.7,71.8,,Male,19,0.55,7.6,4.3
