Student_ID,Student_Name,Study_Hours,Attendance_Percentage,Internal_Assessment_Score,Previous_Academic_Result,Final_Grade,Gender,Age
STU001,Krishna Iyer,4.4,74.9,41.4,83.8,B,Male,-18
STU002,Ayushi Bansal,9.6,73.3,41.9,51.1,D,female,20
STU003,Vivaan Gupta,7.6,67,40.1,60.8,C,M,24
STU004,Manav Mehta,6.4,84.3,45.2,79.8,B,Male,-23
STU005,Nikhil Nair,2.4,79.1,33.4,68.9,C,M,23
STU006,Vihaan Agarwal,2.4,94.6,39.6,84.3,B,Male,19
STU007,Aarav Kapoor,1.5,61.3,38.4,97.7,A,Male,23
STU008,Harsh Singh,8.8,85.8,40.3,47,D,Male,24
STU009,Tanvi Gupta,6.4,90.5,46.6,82.6,B,F,-5
STU010,Aadhya Chopra,7.4,90.4,40,53.8,D,F,20
STU011,Aarav Malhotra,1.2,,31.4,64.9,C,Male,24
STU012,Vihaan Joshi,9.7,89.2,40.9,42,D,Male,24
STU013,Ishaan Reddy,8.5,97.1,41.2,48.2,D,Male,19
STU014,Aditya Reddy,2.9,73.3,30.9,59.2,C,Male,22
STU015,Ira Verma,2.6,80.1,31.4,60.5,C,female,-8
STU016,Anika Kapoor,2.7,60.6,39.7,94,A,female,18
STU017,Nisha Joshi,3.7,60.3,38.8,84.5,B,female,24
STU018,Ayushi Vaish,5.7,69.6,47.8,98.3,A,F,19
STU019,Sarthak Mehta,4.9,64,39,75.9,B,M,18
STU020,Sai Sharma,3.6,70.4,30.6,54.5,D,Male,21
STU021,Sara Singh,6.5,67.1,37.6,59.7,C,female,17
STU022,Aadhya Saxena,2.3,61.1,28.5,59.2,C,female,22
STU023,Anika Kapoor,3.6,96.4,34.7,59.6,C,female,25
STU024,Harsh Nair,4.3,60.3,38.8,80.4,B,Male,-6
STU025,Ishaan Malhotra,5.1,89.4,40.7,71.8,B,Male,19
STU026,Reyansh Iyer,,66.1,41.7,63.1,C,M,23
STU027,Nisha Joshi,2.8,96.5,29.9,48.9,D,F,20
STU028,Aryan Mehta,5.6,95.7,33.2,41.3,D,M,25
STU029,Ishaan Sharma,6.3,86.2,37.2,53.1,D,Male,19
STU030,Vihaan Jain,1.4,86.9,25.4,46.4,D,M,-6
STU031,Sneha Verma,6.5,60.2,,87.1,A,female,19
STU032,Vihaan Malhotra,2.5,99.4,29,46.7,D,M,-11
STU033,Ananya Verma,1.6,95.1,37.8,83.5,B,female,21
STU034,Vihaan Verma,9.5,95.8,47.5,63.1,C,M,-7
STU035,Sneha Gupta,9.7,86.4,41.4,44.4,D,female,23
STU036,Aryan Mehta,8.3,73.8,50.6,88.8,A,M,-18
STU037,Ayushi Das,3.7,95.7,39.4,74.8,B,F,-13
STU038,Vivaan Patel,1.9,71.7,,54.1,D,M,25
STU039,Aditya Chopra,7.2,82.5,50.8,93.7,A,Male,18
STU040,Yash Chopra,5,64,29.2,42.7,D,Male,-5
STU041,Ira Kumar,2.1,96.9,29.5,52.1,D,female,21
STU042,Shaurya Verma,5.5,65.6,43.1,85.1,A,Male,18
STU043,Meera Das,1.3,69,34.3,82.6,B,female,20
STU044,Ira Bansal,9.2,82.3,43.8,57.4,C,F,23
STU045,Rahul Reddy,3.3,90.6,28.8,43.7,D,Male,24
STU046,Harsh Bansal,7,84.8,49.9,91.5,A,Male,19
STU047,Ayushi Khanna,3.8,69.3,32.2,58.8,C,female,17
STU048,Meera Malhotra,5.7,60,32.9,51.7,D,F,-16
STU049,Tanvi Chopra,5.9,90.3,42.1,71,B,F,18
STU050,Vihaan Verma,2.7,99.4,43.7,94.6,A,M,24
STU051,Tanvi Chopra,9.7,92.4,41.4,42.6,D,female,-7
STU052,Diya Das,8,78.4,49.6,85.9,A,female,18
STU053,Surya Patel,9.5,96.2,50.9,74.3,B,,22
STU054,Ayushi Nair,9.1,76.4,45.5,65.5,C,female,22
STU055,Vivaan Jain,6.4,81,46.3,84.6,B,Male,20
STU056,Rohan Bansal,9.3,79.1,55.9,97.9,A,Male,22
STU057,Reyansh Reddy,1.8,77.9,27.5,53.8,D,Male,18
STU058,Ishita Chopra,2.8,91,29.3,48.6,D,female,18
STU059,Karthik Jain,1.4,81.1,39.3,94.8,A,M,20
STU060,Aarav Agarwal,3.9,72.7,39.1,80.1,B,M,24
STU061,Navya Das,4.5,70.3,35.9,66.3,C,F,23
STU062,Pooja Kapoor,3.4,61.5,35.3,74.4,B,female,25
STU063,Aadhya Joshi,8.5,83.3,50.7,84.7,B,F,24
STU064,Ananya Jain,4.2,69.2,41.2,86.4,A,female,21
STU065,Harsh Reddy,3.5,65.9,42.2,95.2,A,M,18
STU066,Krishna Agarwal,5.9,86.2,40.1,65.6,C,Male,21
STU067,Meera Saxena,2.3,87.2,30.6,57.6,C,female,24
STU068,Reyansh Reddy,8.2,90.1,48.9,78.4,B,M,25
STU069,Sai Agarwal,1.7,80.1,30.9,64.9,C,M,25
STU070,Sai Malhotra,9.9,95.8,52.1,75.7,B,M,17
STU071,Surya Mehta,8,97.5,45.3,65.2,C,Male,25
STU072,Rohan Gupta,2.8,92.3,29.6,49.2,D,M,23
STU073,Priya Patel,1,85.4,31,68.2,C,F,25
STU074,Vivaan Kapoor,8.3,72.1,48.3,81.5,B,M,24
STU075,Dev Bansal,7.4,99.3,51.1,88,A,M,17
STU076,Navya Bansal,7.6,71,43.2,69.6,C,female,24
STU077,Ira Malhotra,7.9,68.1,37.6,49.9,D,female,-20
STU078,Aadhya Iyer,1.7,77.7,30.6,64.9,C,female,19
STU079,Ishaan Saxena,4.2,,40.8,87.2,A,M,17
STU080,Nikhil Khanna,2,99.1,33.3,64.8,C,M,24
STU081,Ira Khanna,8.8,83.5,50.5,81.8,B,F,-17
STU082,Ishaan Mehta,6.6,82.3,42.6,70.4,B,Male,19
STU083,Surya Nair,4,86.2,33,54.5,D,M,17
STU084,Surya Saxena,1.6,79.9,37.5,87.8,A,Male,21
STU085,Harsh Joshi,3.8,61.3,27.3,45.1,D,M,23
STU086,Yash Saxena,3.9,84.5,37.7,71.5,B,Male,25
STU087,Sara Bansal,7.6,88.6,39.8,52.5,D,female,23
STU088,Aditya Das,6.7,76.7,34.3,44,D,M,25
STU089,Diya Gupta,9,90.3,48.1,70.2,B,F,-20
STU090,Rohan Agarwal,5.2,69.1,38.3,70,B,Male,18
STU091,Ananya Chopra,2.1,68.9,35.8,82.4,B,female,17
STU092,Ananya Saxena,7.4,66.5,46.9,84.7,B,F,23
STU093,Nisha Agarwal,7.8,74.9,48.2,83.7,B,female,-11
STU094,Ishaan Singh,6.1,93.9,41,64.6,C,M,24
STU095,Sara Khanna,7.9,93.1,48.5,77.9,B,F,21
STU096,Rahul Jain,5.4,75.3,40.7,74.6,B,Male,19
STU097,Dev Nair,5.7,83.6,39.4,65.3,C,Male,-13
STU098,Ishita Malhotra,4.8,88.8,41.2,75.8,B,F,22
STU099,Krishna Joshi,1.2,69.6,38.4,96.8,A,Male,19
STU100,Myra Kapoor,2,66.7,26.2,51.6,D,female,17
STU101,Priya Reddy,1.3,98.9,40.8,94.3,A,F,19
STU102,Vivaan Bansal,6.7,84.7,34.8,43.2,D,Male,-11
STU103,Aadhya Khanna,3.8,99.3,35.1,58.5,C,female,19
STU104,Yash Kapoor,5.6,73.5,35.7,57.3,C,Male,-25
STU105,Pooja Singh,9.2,88.1,50.5,77.6,B,female,21
STU106,Harsh Mehta,3.2,68.9,,47.9,D,M,23
STU107,Kavya Das,4.7,70.4,44.3,92.9,A,female,-19
STU108,Krishna Malhotra,7.8,80.5,50.6,89.7,A,Male,-1
STU109,Meera Sharma,3.1,72.8,37.2,79.1,B,female,-25
STU110,Ishaan Singh,,66.7,30.3,67.5,C,Male,23
STU111,Kavya Iyer,3.6,70.5,43,96,A,F,17
STU112,Aadhya Bansal,2.5,61.4,38.1,89.8,A,F,20
STU113,Krishna Das,9.4,88.2,48.6,70,B,M,20
STU114,Myra Chopra,8.3,79.7,49.2,82.1,B,female,21
STU115,Sai Agarwal,6.7,63.8,42,74,B,M,23
STU116,Nisha Chopra,8.8,66.9,46.9,75.3,B,F,23
STU117,Saanvi Bansal,8.2,64.1,40.8,59.9,C,female,20
STU118,Anika Sharma,2.7,84.5,34.2,67.7,C,female,23
STU119,Rohan Sharma,9,63.8,37.8,44.7,D,M,19
STU120,Manav Kumar,5.9,90.2,39.2,61.4,C,M,-21
STU121,Aadhya Bansal,8.3,60.8,47.2,81.7,B,female,18
STU122,Navya Jain,9.1,70,54.4,97.2,A,female,25
STU123,Sneha Bansal,3.9,95.6,46.7,97.8,A,female,21
STU124,Rahul Joshi,2,88.7,34.9,73.3,B,M,22
STU125,Aditya Malhotra,3.1,62.9,35.4,76.4,B,Male,20
STU126,Ananya Jain,4.8,92.8,34.2,51.1,D,F,23
STU127,Nisha Joshi,8.4,79.7,49.3,81.7,B,F,25
STU128,Aryan Agarwal,8.7,93.9,40,44.2,D,M,23
STU129,Diya Agarwal,1.1,,27.7,57.1,C,female,17
STU130,Ayushi Kapoor,5.6,87.3,44,80.1,B,F,17
STU131,Vihaan Saxena,4.8,99.7,37.2,58.6,C,,25
STU132,Ritika Iyer,3,69.3,25.8,43,D,F,-5
STU133,Tanvi Sharma,2.1,85,39.7,89.9,A,F,20
STU134,Nisha Khanna,4,78.4,33.4,58.6,C,female,25
STU135,Arjun Kumar,9.5,61.6,38.3,43.8,D,M,19
STU136,Sara Mehta,3.9,60.6,27.2,44.5,D,female,-22
STU137,Kavya Jain,5.7,64.8,34.4,55.1,C,female,22
STU138,Nisha Iyer,7.3,86,38.4,50.7,D,F,24
STU139,Ananya Singh,4.3,82.7,42.8,86.5,A,F,25
STU140,Ayushi Joshi,9.7,82.1,45.4,59.3,C,female,21
STU141,Ira Patel,9.7,61.3,52,88.3,A,female,17
STU142,Myra Reddy,3.3,78.8,29.6,50.4,D,female,19
STU143,Dev Reddy,5.5,97,41.6,69.6,C,Male,24
STU144,Rahul Chopra,3.7,75.9,39.4,81.3,B,,22
STU145,Harsh Das,3.6,85,39.4,79.1,B,M,-6
STU146,Aarav Kumar,,91.2,34.6,76.1,B,M,25
STU147,Surya Saxena,6.5,91.4,50.8,95.5,A,M,20
STU148,Ishaan Bansal,5.5,80.8,35.2,53.7,D,Male,17
STU149,Krishna Verma,,94.3,33.3,69.6,C,Male,17
STU150,Aditya Agarwal,3.5,75.7,42.5,93,A,M,20
STU151,Manav Saxena,9.2,95.5,41.4,44.7,D,M,23
STU152,Arjun Iyer,3.2,69.6,26.4,43.4,D,M,18
STU153,Navya Saxena,2.3,71.2,27.9,54,D,female,19
STU154,Ananya Verma,5.4,62.1,40.4,78,B,F,17
STU155,Shaurya Singh,9.9,91.8,45.7,55.6,C,Male,21
STU156,Dev Mehta,3.2,76.7,29.5,51.4,D,Male,17
STU157,Shruti Malhotra,7,69.2,41.2,67.5,C,female,24
STU158,Manav Nair,7.9,69.3,45.8,76.8,B,Male,17
STU159,Rahul Saxena,3.1,96.1,32.3,54.9,D,M,17
STU160,Karthik Das,7.6,93.4,41.9,,D,Male,18
STU161,Meera Mehta,4.3,82.1,39.8,76.8,B,female,18
STU162,Ishita Verma,6.7,84.6,50.9,96.7,A,F,22
STU163,Surya Singh,6.7,79,45.4,80.5,B,M,23
STU164,Vivaan Kapoor,5.8,75.7,45.3,87,A,Male,21
STU165,Vihaan Agarwal,1.8,96.6,31.9,62,C,M,17
STU166,Nisha Jain,8.5,65,40.4,56.3,C,F,17
STU167,Reyansh Bansal,3.9,76.7,35.7,67.3,C,Male,19
STU168,Rohan Joshi,2.7,73.8,39.3,88.4,A,M,18
STU169,Nisha Jain,1.4,79.9,31,67.4,C,female,21
STU170,Tanvi Khanna,6.3,78.3,47.7,90.8,A,female,-5
STU171,Kavya Das,7.1,80.8,52.1,99.3,A,F,23
STU172,Diya Saxena,1.1,65.6,22,44.3,D,F,20
STU173,Navya Kapoor,5.6,80.5,32.1,42.7,D,F,23
STU174,Harsh Verma,3,69.7,27.7,49,D,Male,24
STU175,Shruti Das,6.8,67.4,39.3,63.1,C,F,17
STU176,Krishna Patel,2.6,62.6,25.8,47.9,D,,22
STU177,Aditya Sharma,7.2,,51.1,92.2,A,M,24
STU178,Sneha Nair,4.5,77.1,29.1,41.4,D,female,21
STU179,Reyansh Joshi,9.4,85.1,45,58.9,C,M,20
STU180,Ishita Khanna,2.2,89.1,28.6,51.1,D,female,18
STU181,Myra Saxena,4.1,87.2,,95.9,A,F,22
STU182,Aditya Joshi,2,78.8,35.9,80.2,B,M,22
STU183,Vihaan Jain,9.3,75.5,54.6,94.7,A,M,17
STU184,Ayushi Reddy,8.9,75,54.8,98.3,A,F,25
STU185,Manav Malhotra,3.3,85.6,36.1,69.8,C,M,22
STU186,Aarav Sharma,6.9,79.8,38,54.1,D,Male,19
STU187,Ira Khanna,8.4,94,41.7,51.6,D,female,20
STU188,Sara Gupta,6,95,37.5,53.4,D,F,20
STU189,Shaurya Nair,5.8,66.8,43,82.5,B,Male,19
STU190,Sai Bansal,3.2,65.4,25.7,,D,Male,19
STU191,Ira Reddy,1.8,85.2,,43.1,D,F,19
STU192,Rohan Malhotra,9.1,72,48.4,76.5,B,M,20
STU193,Saanvi Malhotra,9.1,60.7,47.8,78.5,B,female,23
STU194,Dev Sharma,6.7,95.5,46.9,79.9,B,Male,20
STU195,Harsh Patel,4.1,69.1,33.8,62.3,C,M,25
STU196,Harsh Malhotra,4.1,97.2,,,D,,17
STU197,Saanvi Singh,7.5,88.7,45.5,72,B,F,24
STU198,Saanvi Kapoor,9.1,90.5,41.1,46.3,D,female,23
STU199,Ayushi Khanna,9,68.1,51.2,87.8,A,F,18
STU200,Ira Chopra,8,69.4,52.1,97.2,A,female,24
STU201,Ayushi Kapoor,6.8,80.9,34.8,43.6,D,F,17
STU202,Saanvi Joshi,1.8,66.9,29.3,63.5,C,F,25
STU203,Dev Reddy,2.5,72.2,33,69.3,C,Male,25
STU204,Vivaan Reddy,9.1,72.9,40.1,48.8,D,,18
STU205,Rohan Iyer,6.5,66.4,47.3,92.1,A,Male,23
STU206,Ishita Sharma,1.1,68.2,26.1,57,C,female,19
STU207,Surya Bansal,1.9,91.5,39,87,A,Male,23
STU208,Navya Chopra,7,66.7,44.8,80.3,B,F,25
STU209,Meera Khanna,1,61.1,30.9,75.9,B,F,20
STU210,Sai Reddy,2.4,85.2,28.8,51.5,D,M,17
STU211,Myra Agarwal,5.9,99,37.7,53.2,D,female,18
STU212,Ananya Agarwal,7.2,73.2,34.6,42.8,D,F,17
STU213,Rahul Joshi,,64.7,36.6,54.4,D,M,21
STU214,Vihaan Jain,3,82.8,32.5,60.7,C,M,21
STU215,Saanvi Kapoor,7.4,96.3,51.4,90,A,F,23
STU216,Tanvi Gupta,3.1,91.4,33.9,62,C,F,25
STU217,Myra Patel,3.9,84.9,41.9,85.3,A,female,25
STU218,Vihaan Iyer,7.7,72.6,42.6,66.4,C,M,19
STU219,Rohan Saxena,6.8,81.7,47.9,87.1,A,M,19
STU220,Vihaan Iyer,8.6,63.6,53.1,98.6,A,M,19
STU221,Ira Reddy,6.9,87.2,38.8,54.4,D,female,20
STU222,Arjun Das,6.1,89,48.6,91.7,A,M,24
STU223,Aarav Gupta,1.8,98.6,36.6,77.3,B,Male,22
STU224,Yash Iyer,4.3,70.4,42.3,89,A,Male,24
STU225,Surya Khanna,3.4,60.7,36.6,79.1,B,M,17
STU226,Reyansh Verma,3.2,81.8,34.2,65.4,C,Male,24
STU227,Aryan Nair,9.8,88.3,44.5,53.7,D,Male,20
STU228,Ananya Iyer,4.5,91.6,31.4,44.2,D,,17
STU229,Sai Jain,9,67.7,46.4,72.1,B,M,24
STU230,Kavya Kumar,6.7,70.5,50.3,99.4,A,female,20
STU231,Vivaan Chopra,8.2,80.5,49.7,84.3,B,M,22
STU232,Ayushi Verma,5.5,73.2,36.2,59.6,C,F,24
STU233,Krishna Iyer,6.2,94.4,48.7,89.6,A,Male,20
STU234,Navya Gupta,5.4,79,44.5,86.1,A,female,19
STU235,Pooja Kumar,2.8,92,31.9,56.9,C,female,25
STU236,Navya Nair,7.5,83.2,35.6,40.9,D,F,19
STU237,Myra Iyer,3.5,90.9,30.2,47.1,D,F,25
STU238,Nikhil Reddy,1.2,73.3,37.5,92.6,A,Male,18
STU239,Reyansh Kumar,6.8,93.3,50,90.2,A,Male,18
STU240,Vivaan Mehta,2.6,71,29.6,57.7,C,M,18
STU241,Karthik Patel,9.5,81.8,44.3,,D,M,22
STU242,Sneha Jain,9.6,68.6,52.3,87.6,A,F,19
STU243,Vivaan Bansal,9.2,79,55.2,96.3,A,Male,25
STU244,Vivaan Bansal,4.3,72.7,41.9,86.7,A,Male,20
STU245,Ananya Mehta,1.1,70.7,32.2,76.3,B,F,17
STU246,Sara Chopra,9.4,98.7,45,54.6,D,F,-25
STU247,Aadhya Khanna,4.9,66.4,37.9,71.5,B,female,17
STU248,Aadhya Nair,9.7,91.5,44.7,54,D,F,21
STU249,Ira Singh,9.7,99.4,55.9,88.5,A,female,-11
STU250,Nikhil Jain,8.7,60.8,42.4,63.2,C,M,24
STU251,Kavya Gupta,3.7,88,,90,A,F,24
STU252,Ananya Chopra,4.5,70.1,34.9,62.9,C,F,-24
STU253,Pooja Nair,8.7,61.6,50.4,89.4,A,F,-24
STU254,Saanvi Verma,3.9,76.1,33.4,60,C,female,17
STU255,Aadhya Kapoor,2.5,97.4,,66.4,C,F,17
STU256,Myra Das,6,60.5,41.1,76.9,B,F,19
STU257,Sai Chopra,9.4,83.5,40.4,44.2,D,Male,22
STU258,Arjun Reddy,7.3,80.1,51.7,96.9,A,Male,23
STU259,Aryan Agarwal,6.1,94.9,44,74.4,B,Male,22
STU260,Anika Saxena,1.9,63.4,31.3,70.5,B,F,-10
